text,label
"i think it is midnight lelit 6 seat",0
"10:00-15:00 newu milewu kemata 1:00-5:00 malet newu",0
"ke 6 seat eske 9 seat",0
"Day or night",0
"sorry it is 5 hr leka",0
"It is from 6:00 to 11:00",0
"lelit",0
"No ken new",0
"Damn ken final tefetign mata yanyahil seat yikebdal plus next day exam alegn",0
"yeah you are right my bad i thought i saw AM hahaha",0
"no it is ken i think",0
"5pm or 17 direct Ethiopian aydelem wey",0
"i think AWS uses 24 hr format so there is no PM AM. it starts with AM and PM replaced by the number greater than 12

so instead of 3PM they will tell u 15:00",0
"10:00 - 15:00 CET

be ethiopian 
ken 6 seat eske 11 seat

5 hour test.

basically CET -> GMT +1
ethiopia demo GMT + 3

so ET is 2 hr a head",0
"By the way talking of AM and PM it always confuses me when the clock turns in to 6:00 in the midnight and in the day is it PM or AM? For example when it was 5:59 or before noon we called it AM and when it was 6:01 or after noon we call it PM but what about 6:00",0
"Silezi ken lay newu program that means exam lay negn 😔😔",0
"yeah  we ethiopian count the day based on light. But the Gregorian use diff half night full day half night is 24 hr.

Meaning the day starts midnight which indicates 12 AM starts there   then ken 6 seat will turn back to PM till midnight",0
"Yeah I got it but what confused me was that if the time was 5:59 (23:59 or 11:59) pm but if it was 6:00 (00:00 or 12:00) what do we call it?",0
"23:59 or 11:59

forget number 6 here hahaha",0
"Oh okay got you😂",0
"You gave me more convincing answer than google😂😂",0
"u will get used to it man. i already get confused too when i talk to my boss",0
"Yeah I will thank you bruv",0
"huh isn't that still on some kind of debate",0
"Not anymore 😂. Do you think it is?",0
"idk who cares I read about it couple years ago :(",0
"What did you read?",0
"for how low can i get 27 2k monitor? anyone who bought recently or a seller.",0
"Yeah that is what i get when I search in google",0
"PH = 7  😀",0
"Yeah that's why I use bootstrap 🤷‍♂",0
"It is neutral (Water)😂",0
"WTF is this man?

GitHub needs a block user feature.",0
"Nigga really needed the contributed badge 😂😂😂😂",0
"u will get used to it man. i already get confused too when i talk to my boss",0
"Yeah I will thank you bruv",0
"huh isn't that still on some kind of debate",0
"Not anymore 😂. Do you think it is?",0
"idk who cares I read about it couple years ago :(",0
"What did you read?",0
"for how low can i get 27 2k monitor? anyone who bought recently or a seller.",0
"Yeah that is what i get when I search in google",0
"PH = 7  😀",0
"Yeah that's why I use bootstrap 🤷‍♂",0
"It is neutral (Water)😂",0
"WTF is this man?

GitHub needs a block user feature.",0
"Nigga really needed the contributed badge 😂😂😂😂",0
"Also Tailwind is apparently based",0
"nah fam  that might be changing soon",0
"been telling you that since 2019",0
"KEK look up what it means 💀",0
"let me check it beka",0
"Ik",0
"no ik",0
"I feel like I missed out",0
"dude i have mad scratch marks on my neck and back from yesterdays cinema trip",0
"Also check out all the other CSS frameworks like animate fontawesome slider and the lot",0
"WHAT",0
"DMus",0
"If flex box isn't your thing check out grid",0
"ok so if i use the framewoeks i will never gonna code css right",0
"Bootstrap is trash bro learn tailwindcss",0
"why",0
"Bootstrap is easy but not customizable and it's kinda outdated",0
"Because it's pre made style classes meaning it looks the same u could probably tell when a site is using bootstrap tailwindcss is just a collection of utility classes so ur just writing css in an easier way",0
"can i inbox u",0
"No it just makes it easier",0
"Take this back!",0
"dis is da wae",0
"are u a backend developer \",0
"Full-stack web dev",0
"ok can i DM u",0
"Why don't you try both",0
"But I do a lot of stuff",0
"I like making shit",0
"fa sho",0
"what",0
"*ehm*
for sure",0
"lemn",0
"Or the latest version",0
"... Of PS",0
"Paid ones exist?",0
"sure !",0
"you can chat me in case you are intrested",0
"Might not reply fast but sure",0
"Yeah a lot has changed in react-router after version 6 so follow the docs it's simple.",0
"I wouldn't call bootstrap trash but 🤷‍♂️",0
"It's customizable using scss.
Don't forget you can implement your own css along Bootstrap 🤷‍♂

Outdated you mean not hyped YES.",0
