text,label
"Pc for sale - slightly used(for 3 just months)
Hp elite book 
- Core i7
- 8th generation 
- 512 SSD
- 16 GB Ram
- Touch screen 
- Supports Back-lit 
- 360°
- 6 hours 🔋 
- Type C charger 
- Very slim
Price: 41000 Birr 
Dm me if you are interested",1
"#ይሳተፉ

ትምህርት ሚኒስቴር በሦስት መመሪያዎች ላይ የህዝብ የውይይት መድረክ አዘጋጅቷል።

ሚኒስቴሩ በአጠቃላይ ትምህርት የመምህራን የደረጃ እድገት የአፈጻጸም መመሪያ፣ በርዕሰ መምህራን፣ ምክትል ርዕሰ መምህራንና ሱፐርቫይዘሮች የምልመላ መረጣና ምደባ የአፈጻጸም መመሪያ እንዲሁም የቅድመ አንደኛና አንደኛ ደረጃ ትምህርት ዕጩ መምህራን ምልመላና መረጣ የአፈጻጸም መመሪያዎች ላይ ሐሙስ ጥር 302016 ዓ.ም ጠዋት 3:30 የውይይት መድረክ አዘጋጅቷል።

በሚኒስቴሩ መሰብሰቢያ አዳራሽ በሚካሔደው የውይይት መድረክ የህብረተሰብ ክፍሎችና ባለድርሻ አካላት በመሳተፍ በረቂቅ መመሪያዎቹ ላይ አስተያየት እንዲሰጡ ተጋብዘዋል፡፡ 

©tikvah

@AAU_INFO_CENTER",1
"የአዲስ አበባ ዩኒቨርሲቲ ማህበረሰብ 📻 ሬዲዮ ኤፍ ኤም 99.4 በመላው አዲስ አበባ ከተማ እና ዙሪያው ተደራሽነቱን አሰፋ። የአዲስ አበባ ዩኒቨርሲቲ ማህበረሰብ ሬዲዮ በአዲስ አበባ ከተማ እና ዙሪያው የተደማጭነት አድማሱን ማስፋት የሚያስችለውን ማሻሻያ ከፋና ብሮድካስቲንግ ኮርፖሬት ጋር በመተባበር ማከናወኑ ተገለጸ።🌐 #RadioExpansion

 @AAU_INFO_CENTER",1
"#OPPORTUNITY 

Job Title: Content writer for newsletter and blog for a US based startup 

Company: Evoli 

Salary: 50 dollars 

Description:
 Evoli is a US based startup on a mission to revolutionize student life by integrating technology into every aspect of their daily routines. Our platform offers a unified solution for managing academic schedules budgeting and much more all powered by AI. As we expand we're looking for passionate interns to join our team in two distinct roles: Social Media & Graphics Design Intern and Content Writing Intern for Blog and Newsletter.

This internship is a unique opportunity to contribute to a growing startup with a chance to transition into a full-time position as our Outreach and Communications Lead. Interns will receive a small stipend at the end of a 2-month period.
Please only submit through the form below.
https:forms.gletG62GaythBCm3z939

There will be a 50 dollar stipend compensation at the end of your internship.
© Maroset

@AAU_INFO_CENTER",1
"የአዲስአበባ ዩኒቨርስቲ አምስተኛ በር የተሰኘዉን አካባቢ ለተማሪዎች እንቅስቃሴ ምቹ እንዲያደርግ ተጠየቀ

👉🏼 ከሰሞኑ በመኪና አደጋ ህይወቷን ያጣችዉ አካል ጉዳተኛ ተማሪ ጉዳይ የሚከታተል የህግ ባለሙያዎች የተካተቱበት ኮሚቴ ተዋቅሯል

ባሳለፍነዉ ቅዳሜ የአዲስአበባ ዩኒቨርስቲ የመጀመሪያ አመት ተማሪ የነበረችዉ ተማሪ ህሊና ጌታነህ ከሁለት አካል ጉዳተኞች ጓደኞቿ ጋር ባጋጠማቸው የመኪና አደጋ ህይወቷ ማለፉ ተሰምቷል።

በአደጋዉ ተማሪ ህሊና ህይወቷ ሲያልፍ ሌሎች ሁለት አካል ጉዳተኞች ጓደኞቿም በህክምና ላይ ይገኛሉ ተብሏል። 

አደጋዉን ተከትሎ የኢትዮጵያ አካል ጉዳተኞች ማህበር ፣ የህግ ባለሙያ አካል ጉዳተኞች ማህበር እና ሌሎች አካላት ጉዳዩን የሚከታተል ኮሚቴ ማዋቀራቸዉን ብስራት ራዲዮና ቴሌቪዥን ሰምቷል። የኢትዮጵያ ብሔራዊ አይነስዉራን ማህበር ምል ፕሬዚዳንት አቶ ፋንታሁን መንግስቴ ለጣቢያችን እንደተናገሩት ፤ በወቅቱ አደጋዉን ያደረሰዉ ሰዉ በህግ ቁጥጥር ስር ይገኛል ያሉን ሲሆን ጉዳዩን የተለያዩ የአካል ጉዳተኞች ማህበራት እየተከታተሉት እንደሚገኝ አስረድተዉናል።

አቶ ፋንታሁን ፤ የአዲስአበባ ዩኒቨርስቲ አምስተኛ በር አካባቢ በተደጋጋሚ የመኪና አደጋ መስተዋሉን ተከትሎም ዩኒቨርስቲው  ቦታዉን ለተማሪዎች እንቅስቃሴ ምቹ እንዲያደርግ ጠይቀዋል። ማህበሩ የሟች ተማሪ ቤተሰቦችን ማጽናናት ፣ የህግ ምክር አገልግሎት እና ሌሎች ድጋፎችን እንደሚያደርግ ገልጸዋል። በሌሎች የአካል ጉዳተኞች ላይም በሚያጋጥሙ ድንገተኛ አደጋዎች ለተጨማሪ የአካል ጉዳት እየተጋለጡ መሆኑንም አጽንኦት ሰጥዋል።

የመኪና አደጋዉን ባደረሱ ሰዎች ላይ የሚካሄደዉ ምርመራ በአግባቡ ትኩረት ተሰጥቶት እንዲመራም የተዋቀረዉ ኮሚቴ ይሰራል ብለዉናል። በኮሚቴዉ የመንግስት አካላትን ጨምሮ የኢትዮጵያ ሰብዓዊ መብቶች ኮሚሽን እንዲካተቱበትም ፍላጎት እንዳለ ጠቅሰዋል።

በአካባቢው በተደጋጋሚ ይደርሳል ለተባለዉ አደጋ በዘላቂነት ለመፍታት የሚመለከታቸዉን የመንገድ ደህንነት አካላት በማካተት ቦታዉ ላይ መፍትሔ እንዲበጅ እንደሚሰራም የኢትዮጵያ ብሔራዊ አይነስዉራን ማህበር ምል ፕሬዚዳንት አቶ ፋንታሁን መንግስቴ ጨምረዉ ለብስራት ራዲዮና ቴሌቪዥን ተናግረዋል። የአዲስአበባ ዩኒቨርስቲም ለዚህ ተባባሪ እንዲሆን ጥሪ አቅርበዋል።

#DaguJournal 
@AAU_Info_Center",1
"​​👋Hello Guys! I strongly recommend you to join this channel 
 ❤ ''Freshman Students''
 Trust me! You will make profit.  
If you don't believe me see it. It is absolutely amazing. 
   I dare you to not miss this opportunity🥰",1
"The First Annual Festival of Universities Cultural center


February 5-7 2024


@AAU_Info_Center",1
"#ጥቆማ

የጣሊያን መንግሥት በሚሰጠው ነፃ ትምህርት ዕድል ተጠቃሚ ይሁኑ!

የጣሊያን መንግሥት Invest Your Talent in Italy በተሰኘ ነፃ የትምህርት መርሐግብር፤ የውጪ አገራት ተማሪዎች የሁለተኛ እና የዶክትሬት ዲግሪ ትምህርታቸውን በጣሊያን እንዲከታተሉ ዕድል ይሠጣል፡፡ 

ተማሪዎቹ በፓዶቫ፣ ብሬስካ፣ ፓርማ እና በሌሎችም ታዋቂ የጣሊያን ዩኒቨርሲቲዎች የትምህርት ወጪያቸው ተሸፍኖ ትምህርታቸውን የሚከታተሉ ሲሆን በቅድሚያም በፆታ እኩልነት እና ፆታዊ ጥቃትን መከላከል ላይ መሰረት ያደረጉ ኮርሶችን እንዲወስዱ ይደረጋል፡፡ 

የማመልከቻ ጊዜው የሚያበቃው፡- የካቲት 222016 ዓ.ም

ከታች የተቀመጠውን ሊንክ ተጠቅመው በመግባት REGISTRATION የሚለውን በመጫን ይመዝገቡና አስፈላጊ ሰነዶችን ያስገቡ 👇

https:investyourtalentapplication.esteri.itsitoinvestyourtalentapplicationprogetto.asp

©tikvah
@AAU_Info_Center",1
"💥As memories are so valuable you really need to cherish them. This is the location where you may accomplish that.#Elianacinema👈                     
we have it all !! come to swing by at Eliana Cinema. 🍟                                        
እሁድ እና ቅዳሜ የት ለማሳለፍ አስበዋል  ፊልም ማየት ካሰቡ ግን  #ፒያሳ በግራንድ ኤልያና ሆቴል 2ኛ ፎቅ ላይ እንገናኝ ፊልም ብቻ ሳይሆን ሲኒማንም ለማየት የሚመጣበት ቦታ 
ይምጡ  እና አእምሮዎን ያድሱ!! 🍕

#Enjoy#Elianacinema 🍿
#bireshcineplusw🍿

☎️+251926080808                                                                                                              

https:t.meBireshCinePlus👈",1
"When: Wednesday 7th February 2024
Where: AAU Ethnological Museum

Registeration link: https:docs.google.comformsde1FAIpQLSeODg91j3eRuukvvMtW3dde9n-u6RygCVGsvLhUB38sNDYz2Qviewform?vc=0&c=0&w=1&flr=0&usp=mail_form_link

©Justice club

@AAU_Info_Center",1
