text,label
"እስከ ጁንግ ድረስ ይሂዱ እብድ .. በቡሲስ እና በታላቅ ዓለም lo we bufe ውስጥ ብቻ ይገኛል ... ሲን ዌይ አለ ...",0
"እሺ lar ... ማጨስ Wif u inii ...",0
"የ FA ዋንጫ የመጨረሻ TKTS ን ለማሸነፍ ነፃ ግቤት በ 2 የ WKLY CONTITS ውስጥ ነፃ የመግቢያ ጥያቄ (STD TXTACT) T & C ይተግብሩ 0845281007501010 ዎቹ",1
"U sun out tun to to ይነጋገራሉ ... አዎ ኡ ሐ ቆዩ ...",0
"ናህ ወደ አሜሪካ የሚሄደው አይመስለኝም ግን እዚህ ይኖራል",0
"Freemsgy ሃይ እዚያው የ 3 ሳምንት ንድፍ ሲሆን አሁንም አልተመለሰም!እኔ አሁንም ለእሱ ሊዝናኑ እፈልጋለሁ?ቲቢ እሺ!XXX STD Chags ለመላክ £ 1.50 ወደ RCV",1
"ወንድሜም እንኳ ከእኔ ጋር መነጋገር እንደማትችል አይደለም.እነሱ እንደ ኤድስ የፈጠራ ባለቤትነት ይሰማኛል.",0
"እንደጠየቁት <myle melee (ኦው ሚንሚኒኒቲኒቲኒቲቲሚቲ) 'ለሁሉም ደዋጮችዎ እንደ ካሊርትበርዎ ተዘጋጅቷል.የጓደኞችዎ ካሊርትበርን ለመቅዳት * 9 ን ይጫኑ",0
"አሸናፊ !!እንደ ዋጋ ያለው አውታረ መረብ ደንበኛው £ 900 ሽልማት ሽልማት ተመረጡ!ጥያቄን ለመጠየቅ 09061701461. የይገባኛል ጥያቄ ኮድ KL341.ትክክለኛ ለ 12 ሰዓታት ብቻ.",1
"ተንቀሳቃሽ ስልክዎ 11 ወር ወይም ከዚያ በላይ ነበረው?U r ወደ የቅርብ ጊዜ የቀለም ሞባይሎች ከካሜራ በነፃ ለማዘመን መብት አላቸው.በ 08002986030 ሜዳ ለሞባይል ዝመናዎ ይደውሉ",1
"በቅርቡ ቤት እሆናለሁ እናም ስለዚህ ነገር ዛሬ ማታ ማታ ስለዚህ ነገር ማውራት አልፈልግም k?ዛሬ በቂ አለቀስኩ.",0
"በጥሬ ገንዘብ ለማሸነፍ ስድስት ዕድሎች!ከ 100 እስከ 20000 ፓውንድ extrugs> expless> ላክ እና ወደ 87575 ይላኩ. ከ 87575.",1
"አጣዳፊ!በ £ 100000 የሽልማት ጃኬቱ ውስጥ የ 1 ሳምንት ነፃ አባልነት አግኝተዋል!ቃሉን ይመልከቱ-እንደ የለም.",1
"ለዚህ እስትንፋስ ለማመስገን ትክክለኛ ቃላትን ፈልጌ ነበር.እርዳታዎን ችላ ብዬ እንደነበር ቃል እገባለሁ እናም የገባሁትን ቃል እፈጽማለሁ.በማንኛውም ጊዜ አስደናቂ እና በረከት ነበሩ.",0
"እሁድ እሁድ ቀን እወቅ !!",0
"XXXABELELEVIELBLub: ዱቤዎን ለመጠቀም በሚቀጥሉት የ TXT መልእክት ውስጥ የ WAP አገናኝ ጠቅ ያድርጉ ወይም እዚህ ጠቅ ያድርጉ ወይም እዚህ ጠቅ ያድርጉ >> http:  WAP.XXXMALELELEVIECLUBS.com?N=qjkggjcbl",1
"ኦህ K ... እዚህ እየተመለከትኩ ነው :)",0
"ኤች ኤስ ስሙን እንዴት 2 ፊደል እንዴት 2 ፊደል እንደነበረ ያስታውሱ ... አዎ እኔ አደረግኩ.እርጥብ እስክታለል ድረስ እብሪተኛ ነው.",0
"የሚሰማዎት ከሆነ ጥሩ ከሆነ ጥሩ.ያጋጃው መንገዱን መንገድ ነው ለ",0
"የእንግሊዝ v መቄዶንያ - ግቦችን  የቡድን ዜናዎችን እንዳያመልጥዎት.Ext ur ኡ ብሔራዊ ቡድን ወደ 87077 እመኛ ወደ እንግሊዝ እስከ 87077 ድረስ ዌልላንድ ስኮትላንድ 4.20 Pox36504 wox16+",1
"የእርሱን ስሙን እንዴት እንደጻፉ ይህ በቁም ነገር ነው?",0
"እኔ ከ 2 ወሮች ውስጥ እሞክራለሁ እና እየቀለድኩ ነው",0
