Category,Message
ham,Y በጣም ዘግይቼ ግን መሄድ አለብኝ n ላፕቶፕን ማግኘት አለብኝ ...
ham,"ጌታዬ, እኔ ደብዳቤዎን እጠብቃለሁ."
ham,. ጠዋት ላይ ሲነሱ ሞባይልዬን ሞባይልዬን ይሙሉ.
ham,"ምንም, ከማይታወቁ ከ MSG ውስጥ አገኘሁ .."
ham,ኡሽ ጩኸት ለሔዋን እገባለሁ
ham,ኡሽ ጩኸት ለሔዋን እገባለሁ
spam,"አጣዳፊ!ተንቀሳቃሽ ስልክዎ *********** በ 02/06/03 ላይ £ 2,000 የጉርሻ ደዋይ ሽልማት አግኝቷል!ይህ እርስዎን ለማግኘት የ 2 ኛ ሙከራ ነው!ይደውሉ 09066362220 አስፕ!ሣጥን97n7n7PP, 150 ፒፒኤም"
spam,"Heeie Nokia ቶን 4u ከ 8007 ጀምሮ እስከ 8007 ድረስ ማዕረግ: - Ghosts, ሱስነት, ኤክስፖርቶች, ድግግሞሽ, ትዊድ"
spam,የ Sexy ነት ነጠላዎች እርስዎን እየጠበቁ ናቸው!ዕድሜዎ በጾታዎ ውስጥ የጾታዎ ጾታ / ኢ.ፒ.አይ.ግብረ ሰዶማውያን ወንዶች ዕድሜዎ በ G. ኢ.ግ.233 ተከትሎ ተከተለ.
ham,ያ አስደናቂ ዘፈን ነው
spam,"Freemsg: - የ 250 ኤስኤምኤስ መልእክቶች - አሁን ከ 250 ሴ.ሜ.T & C ቦሽ 139, L32WU.16.TXTXX ን ያስወግዱ ወይም ያቁሙ"
ham,የ yar ሎግ በእውነቱ በፍጥነት በፍጥነት እንቀጥላለን ... COS DE GELL ROT ... ሃሃ ...
spam,85233 ነፃ> የስልክ ጥሪ ድምፅ! እውነተኛ መልስ
ham,የዶሎ ነፋስን እንዴት ይወዳሉ?
ham,"ደህና ሕፃን, ዳግመኛ እላለሁ.እንዴት ነው ዶን?ፍቅር ምጃን"
spam,እንግሊዝ በጥሩ ሁኔታ ተከናውኗል!ኦፊሴላዊ የፖሊኪድ የስልክ ጥሪ ድምፅ ወይም የቀለም ባንዲራ በፊቱ ሞባይል ላይ ያግኙ!የጽሑፍ ቃና ወይም ባንዲራ እስከ 84199 ድረስመርጦ መውጫ ቲ.ቲ.ሣጥን39822 W1111wx £ 1.50
ham,"አይ አይደለሁም.የሚፈልጉትን እና የሚፈልጉትን ሁሉ ሊሰጥዎ አልችልም.በእውነቱ በራስዎ ላይ ለራስዎ በተሻለ መሥራት ይችላሉ - ከእኔ የበለጠ ገንዘብ አግኝተዋል.ሥራ ማግኘት አልቻልኩም, ወንድ ማግኘት አልችልም, የቤት ኪራይን መክፈል አልችልም, የእኔን የጋዜጣ ገንዳዬን እንኳን መሙላት አልችልም.አዎ, ተጨንቄአለሁ እና ተጨንቄያለሁ.ለምስጋና ጁዝ ወደ ቤት እንኳን አልጠራሁም, እንደ እኔ እንደማንኛውም."
spam,"የመጨረሻ ዕድል!ዛሬ £ 150 ዋጋ ያለው የቅናሽ ቫውቸሮች ዛሬ!አዎ አዎ 85023!ሳቫሞብ, አባል ተንቀሳቃሽ ስም ይሰጣል!T cs savamob Pox84, M263uz.£ 3.00 ንዑስ አጠባበቅ"
spam,የግል!የ 2004 የሂሳብ መግለጫዎ ለ 07742676969986 ያልተለመዱ ያልተለመዱ የጉርሻ ነጥቦችን ያሳያል.ጥሪ 08719180248 መለያ መታወቂያ: 45239 ጊዜው ያልቃል
spam,"የኤስኤምኤስ አገልግሎቶች.ለማካካሻ የጽሑፍ ክሬዲቶችዎ, Pls Goto Wwatow wwow twog.com.net የመግቢያ = ***** ከቆሻሻ መጣያ ይመዝግቡ.ምንም ተጨማሪ ክፍያ የለም.እገዛ: 08700469649.Pox Box420.Ip4 5 እኛ"
ham,ኦህዋዋ ጥሩ ጥሩ ጥሩ ጥሩ .. እንደገና እንደገና
ham,"እምምም ... እና እገምታለሁ, እግሮቼን ከቁጥቋኝ ወደ ቤት ከገቡ በኋላ እራት እንዲያደርሱኝ እና ለእኔ ቀኖቼ እንዲዘጋጁ ይረዱኛል!እርግጠኛ ነዎት ለእንደዚህ ዓይነቱ ህይወት ዝግጁ ነዎት?"
spam,የዮርዳኖስ ጾታ የጆርጅ ጆርጅ የቪርጊስ ሥዕል!
spam,እርስዎ አሸናፊ ነዎት £ 1000 ጥሬ ገንዘብ ወይም £ 2000 ሽልማት ለመቀበል ልዩ ነዎት.ጥሪ 087123002209am-7PM ለጥያቄው ኦፕሬተር ይናገሩ.ወጪ 10 ፒ
ham,"አዎ, ወደ መኝታ አይሂዱ, እኩለ ሌሊት ላይ እመለሳለሁ"
spam,"የፀሐይ ብርሃን የበዓላት ቀን.የመደበኛነት ዕረፍትዎ በአሜሪካ ዩኬ, ፖ.ሳ.ቁስ 113, ብራዩ, ዊልሎም, ዌልሎ,ጥያቄው ቅዳሜ ይጀምራል!ማቆም"
spam,"አሁን ቃላቱን ከ 806066 ቴስተርስ www.decs www.demage, 1Winake, Evide.com ላይ በየሳምንቱ ከ 87066.150ppermessssSsSsSsSus"
ham,አሁንም በእናንተ ላይ እብድ እንደሆንኩ እንደሚያውቁ ተስፋ አደርጋለሁ.
spam,# ሽርሽር!
ham,ደህና ነኝ አክስቴ ነው!
ham,S ... ከሠልጡ መመሪያው ያሳየው የቴክኖሎጂ ሂደት እንደሌለ ነው) ሁሉም ስለ ቃል የይለፍ ቃል ዳግም ማስጀመር እና መላ ፍለጋ :)
spam,የእርስዎ b4u vucher w / c 27/03 ማርስ ነው.ቅናሽ ብድር ለማግኘት www.b4utle.com ላይ ይግቡ.መልስዎን ለማስቀረት.የደንበኛ እንክብካቤ ጥሪ 08717168528
spam,ፍሪፍትግ: ሄይ - ቡፌ ነኝ.25 ሰዎችን ለማርካት ይወዳሉ.ብቸኛ ስሜት ቀስቃሽ ስሜት.መልስ 2 ሲ የእኔ ፒክስል!Qlynnbv እገዛ 1087006211710. MSG TXTS ለማቆም ላክ
spam,"የፀሐይ ብርሃን የበዓላት ቀን.የመደበኛነት ዕረፍትዎ በአሜሪካ ዩኬ, ፖ.ሳ.ቁስ 113, ብራዩ, ዊልሎም, ዌልሎ,ጥያቄው ቅዳሜ ይጀምራል!ማቆም"
ham,በሐቀኝነት መንገድ መሄድ አለብኝ ብዬ አስባለሁ.ነገ ለባንክ ይደውሉ.ታላላቅ ሰዎች የሚያደርገን ጠንካራ ውሳኔዎች.
spam,ለ 1 ኛ ሳምንት ነፃ!No1 Nokia ቶን 4 ዩ.አር.ኤል.ZED POED Pox 36504 W45wq dord150P / TONE 16+
ham,አዎ አዎ ጥሩ የ CRICUBUTY አእምሮ ይኑርዎት
ham,Thx.በጥቂት ወሮች ውስጥ ሁሉም ደህና ይሆናሉ
spam,"እርስዎ እስኪያቋርጡ ድረስ ሱቅ, 10 ኪ, 500, £ 500 ገንዘብ ወይም £ 100 የጉዞ ቫውቸር, £ 10064011000 ነው."
spam,ከ 750 መስቀል ደቂቃዎች ጋር ከ 759 / ወር ጋር ከ 4.49 / ወር ጋር ከ 4.49 / ወር ጋር ከ 4.49 / በወር ጋር.1/2 የዋጋ TXT ጥቅል ጥቅል ቅናሾችም ይራባሉ.08001950382 ይደውሉ ወይም ይደውሉ ወይም ጥሪ 2
ham,"ሃሃ, እግሮቼ እና አንገቴ እየገደሉኝ ነው እናም አሚጊኦስ ሌሊቱን ይዘው በመቃጠል ልክ እንደ አንድ ሰዓት ማወዛወዝ እችል ነበር?"
spam,"አጣዳፊ!ተንቀሳቃሽ ስልክዎ 07xxxxxxxxxxxx በ 02/06/03 ላይ £ 2,000 የጉርሻ ደዋይ ሽልማት አግኝቷል!ይህ እርስዎን ለማግኘት የ 2 ኛ ሙከራ ነው!ይደውሉ 0906636221 ASAP!ሣጥን97n7n7PP, 150 ፒፒኤም"
ham,ብዙውን ጊዜ ሰውነት መሻሻል አለመሆኑን ያረጋግጡ.ቅዳሜ እባክዎን ይህንን ንግግር በቅጠል ይቀጥሉ.
spam,"አጣዳፊ !!የእርስዎ 4 * ኮስታ ዴል Fol የበዓል ቀን ወይም £ 5000 የሚጠባበቅ ክምችት.109050090090044 ን አሁን ማለፍ.SAE, TC S, Pobox334, የስድብፖርት, SK38xh, ወጪ £ 1.50 / PM, Max10mins"
ham,"እምምም ደህና, ሌሊት ምሽት"
ham,እናንተ ቅዱስ ሹራብ ለዚህ ነገር እየቀለድክ አልነበሩም
spam,£ 1000 ጥሬ ገንዘብ ወይም £ 2000 ሽልማት ዋስትና አግኝተዋል.የ YR ሽልማት ጥያቄን ለመጠየቅ የደንበኛ አገልግሎት ተወካይ በ 087147123379 ከ 10 ደቂቃዎች እስከ 1 ሰዓት ድረስ
spam,"ስለ የደወል የስልክ ጥሪ ቅደም ተከተልዎ እናመሰግናለን, Ref ቁጥር K718.ሞባይልዎ £ 4.50 ክስ ይሰነዝራል.የእርስዎ ድምፅዎ መድረስ የለበትም እባክዎን ለደንበኞች አገልግሎቶች በ 09065069120 ይደውሉ"
spam,ታዲያስ ያ ቢቤክስ ኤክስ 4 oo 4 use ተኩስ? 'አጭበርባሪዎች ብልህ ሆነው እያገኙ ነው.ሌሎች ደግሞ ጥቅም ላይ ውሏል.ተጠንቀቁ!
